Profession,Year,No. of Emigrants
Operator,1981,2313
Operator,1982,2079
Operator,1983,1814
Operator,1984,1414
Operator,1985,1244
Operator,1986,877
Operator,1987,1000
Operator,1988,1232
Operator,1989,1449
Operator,1990,1720
Operator,1991,2158
Operator,1992,2894
Operator,1993,2336
Operator,1994,1677
Operator,1995,1769
Operator,1996,1808
Operator,1997,2252
Operator,1998,1522
Operator,1999,1180
Operator,2000,1628
Operator,2001,1933
Operator,2002,2228
Operator,2003,3235
Operator,2004,2627
Operator,2005,2148
Operator,2006,2769
Operator,2007,4338
Operator,2008,6503
Operator,2009,6098
Operator,2010,5484
Operator,2011,9813
Operator,2012,12883
Operator,2013,12829
Operator,2014,14806
Operator,2015,17790
Operator,2016,12743
Operator,2017,9160
Operator,2018,5173
Operator,2019,7203
Operator,2020,2054
Operator,2021,3712
Operator,2022,11571
Operator,2023,3321
Others,1981,2167
Others,1982,1947
Others,1983,1699
Others,1984,1324
Others,1985,1166
Others,1986,821
Others,1987,937
Others,1988,1155
Others,1989,1357
Others,1990,1611
Others,1991,2022
Others,1992,2711
Others,1993,2188
Others,1994,1571
Others,1995,1657
Others,1996,1695
Others,1997,2111
Others,1998,1426
Others,1999,1106
Others,2000,1526
Others,2001,1811
Others,2002,2087
Others,2003,3030
Others,2004,2462
Others,2005,2012
Others,2006,2594
Others,2007,4064
Others,2008,6093
Others,2009,5713
Others,2010,5138
Others,2011,0
Others,2012,0
Others,2013,0
Others,2014,0
Others,2015,0
Others,2016,0
Others,2017,0
Others,2018,0
Others,2019,0
Others,2020,0
Others,2021,0
Others,2022,0
Others,2023,0
Painter,1981,2981
Painter,1982,2678
Painter,1983,2337
Painter,1984,1821
Painter,1985,1603
Painter,1986,1129
Painter,1987,1289
Painter,1988,1588
Painter,1989,1867
Painter,1990,2215
Painter,1991,2781
Painter,1992,3729
Painter,1993,3009
Painter,1994,2160
Painter,1995,2279
Painter,1996,2329
Painter,1997,2902
Painter,1998,1961
Painter,1999,1520
Painter,2000,2098
Painter,2001,2491
Painter,2002,2871
Painter,2003,4168
Painter,2004,3385
Painter,2005,2768
Painter,2006,3567
Painter,2007,5589
Painter,2008,8379
Painter,2009,7857
Painter,2010,7066
Painter,2011,7623
Painter,2012,13252
Painter,2013,13999
Painter,2014,16890
Painter,2015,20409
Painter,2016,21847
Painter,2017,9473
